Modelo,precio normal,precio oferta
iPhone 14 128GB,$949.990,$719.990
iPhone 11 64GB,$499.990,$379.990
iPhone 15 128GB,$1.099.990,$849.990
iPhone 13 256GB,$939.990,$699.990
iPhone 15 Pro Max 256GB,$1.699.990,$1.299.990
iPhone 15 Pro 256GB,$1.599.990,$1.199.990
iPhone 15 256GB,$1.249.990,$949.990
iPhone 15 512GB,$1.799.990,$999.990
iPhone 15 Pro 512GB,$1.899.990,$1.349.990
iPhone 15 Plus 256GB,$1.399.990,$1.099.990
