modelo;precio_normal;precio_oferta
iPhone 15 128GB;$979.990;$950.590
iPhone 15 Pro Max 256GB;$1.469.990;$1.425.890
iPhone 15 Pro Max 256GB;$1.499.490;$1.454.490
iPhone 15 Pro Max 256GB;$1.499.490;$1.454.490
