nombre,precio normal,precio oferta
iPhone 11 64GB,$469.990,$349.990
iPhone 13 128GB,$869.990,$589.990
iPhone 13 256GB,$899.990,$689.990
iPhone 14 128GB,$899.990,$699.990
iPhone 14 128GB,$899.990,$699.990
iPhone 14 Plus 256GB,$1.229.990,$889.990
iPhone 15 Pro 512GB,$1.729.990,$1.359.990
