modelo,precio_normal,precio_oferta,tienda
iphone 14 128gb,$1.029.990,$829.900,claro
iphone 13 128gb,$889.990,$623.760,claro
iphone 11 64gb,$769.990,$329.900,claro
iphone 14 pro max 128gb,$1.439.990,$1.299.900,claro
iphone 14 plus 128gb,$1.159.990,$949.900,claro
iphone 14 pro 128gb,$1.299.990,$1.179.900,claro
